H2,CH4,C2H6,C2H4,C2H2,CO,CO2,H2O,Fault
6.376188656,136.1540502,386.4062258,85.59553264,4.43890303,315.5433291,2678,9,Thermal
41.93240226,147.0027321,397.6686548,25.79954693,3.693720654,487.4400477,3357,15,Electrical
67.12079779,45.15474975,47.18142764,28.29697594,4.456371185,417.7139291,4893,17,PD
114.37835,25.22026086,267.7582726,68.93819381,1.127976111,689.230073,1035,4,Thermal
76.05891303,76.91137154,283.3933677,29.37613805,4.803157778,12.4326219,7483,9,Overheating
18.07539374,6.926731281,38.69245456,45.52636031,4.859901288,363.4317978,,,Arcing
30.21500803,148.7892522,67.54905436,2.184424697,0.850476999,303.6670414,3124,9,Overheating
27.41538275,84.20785314,396.1759751,4.277255029,0.36904125,22.93034135,7112,10,Overheating
84.09099184,120.0589388,277.3838796,45.55891411,2.123112092,23.90550737,8165,9,Arcing
72.73458526,135.5729252,355.0801955,43.28954659,1.135357506,428.4313171,3426,3,PD
84.23961602,52.78323253,214.8941442,84.69307991,2.318295291,880.3653754,2034,9,Overheating
75.57834048,17.55515401,122.8676012,83.19990684,4.730310891,1309.841383,5378,13,Overheating
128.8334511,118.4838328,39.21150117,56.80431332,1.868605383,237.7969538,10272,3,Overheating
90.0141658,8.464247104,235.9758235,63.21034103,1.588426283,1345.738709,3954,11,Electrical
130.0763581,144.3307672,246.672286,24.95360916,1.907555319,207.3180463,4654,3,Overheating
20.75666985,64.00205109,246.760364,51.58963062,2.241168832,624.6324627,3431,9,Overheating
30.09946168,83.70222538,51.43465023,67.11216517,4.773781069,1076.738499,3267,23,Overheating
29.72509767,54.80448433,259.4914795,29.54229665,1.243653545,568.6534614,,,Overheating
86.31018599,134.0128551,105.6308478,6.823714248,2.766568668,787.3519187,6324,5,Thermal
128.7581918,78.96883576,202.6435386,31.46876431,2.882797911,1314.44353,763,8,Thermal
78.60082794,112.5979025,125.6951542,27.21212429,4.872385847,762.487567,5234,6,PD
44.49939607,51.15008507,237.6093787,88.33302179,0.128355761,430.8668744,5890,17,Arcing
10.5144087,39.20956894,293.4574212,17.55621334,2.702782444,426.918932,3791,0,Overheating
101.1701831,34.48757953,56.53574381,5.265610385,2.870803323,140.5813908,1567,10,Thermal
103.6801004,85.96138535,126.3911955,8.05150014,1.838831997,134.5939461,1567,10,Arcing
37.53349902,61.8536956,247.7519098,31.01440103,3.005815105,749.6918099,2345,13,Electrical
49.93090471,20.4208404,337.0424293,37.82504755,4.565774115,935.1714533,2345,13,Electrical
138.6337665,143.7295448,241.3622044,27.8028123,4.179097441,679.4329652,8,0.5,Electrical
148.8106715,41.75567303,42.22735013,82.26853546,3.23228719,1316.362722,23,0.5,Thermal
54.25538108,27.43757865,237.2108111,84.68263959,4.901826411,907.9937696,47,0.5,Arcing
127.6220414,84.56703965,54.31680052,45.54806401,0.272725336,1250.804855,22,0.5,Arcing
123.6914006,57.98283851,125.7340772,75.87922358,0.993487338,634.2950373,47,0.5,PD
69.27368729,102.0406097,353.4615471,61.80509598,4.780923315,138.6038991,22,0.5,Electrical
