H2,CO,C2H4,C2H6,CH4,C2H2,CO2,H2O,TDCG,Rogers Ratios,Duval’s Triangle,Japan ETRA diagram,Transformer condition,Warning gases,Fault
36,50,34,87,79,0.5,2678,9,286,-,-,-,-,-,PD
5,1137,7,13,12,0.5,3357,15,1170,-,Thermal fault,Discharges + overheating,Warning,CO? & CO,PD
<5,426,4,11,8,0.5,4893,17,452,-,Electrical and thermal fault,Discharges + overheating,Warning,(CO) Carbon monoxide & (CO?) Carbon Dioxide,PD
<5,35,2,130,4,0.5,1035,4,171,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Ethane (C?H?),PD
<5,96,11,363,14,0.5,7483,9,487,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Ethane & Carbon Dioxide,PD
,,,,,,,,,,,,,,
8,6,13,123,12,0.5,3124,9,162,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,"(CO?), (C?H?)",PD
<5,68,8,317,11,0.5,7112,10,408,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Ethane & Carbon Dioxide,DP
5,87,9,346,12,0.5,8165,9,460,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Ethane & CO?,DP
11,146,22,958,23,0.5,3426,3,1161,-,Thermal fault 300°C-700°C,Thermal fault LOW temp,Warning,"C?H?, TDCG, CO?",DP
<5,36,2,117,3,0.5,2034,9,160,-,Electrical and thermal fault,Discharges,Warning,Ethane,DP
5,217,5,5,14,0.5,5378,13,242,Thermal < 700°C,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Carbon Dioxide (CO?),T
5,751,45,54,2,0.5,10272,3,885,No diagnosis,Thermal fault >700°C,No diagnosis available,Warning,"CO (Carbon monoxide), CO? (Carbon Dioxide)",T3
5,311,13,98,11,0.5,3954,11,438,No diagnosis,Thermal fault 300°C-700°C,Discharges + overheating,Warning,"CO? (Carbon Dioxide), C?H? (Ethane)",T2
5,413,13,123,12,0.5,4654,3,566,No diagnosis,Thermal fault 300°C-700°C,Discharges + overheating,Warning,"CO (Carbon monoxide), CO? (Carbon Dioxide), C?H? (Ethane)",T2
5,213,23,41,17,0.5,3431,9,299,No diagnosis,Electrical and thermal fault,Overheating,Warning,CO? (Carbon Dioxide),T1
20,4,7,2212,6,0.5,3267,23,2249,No diagnosis,Electrical and thermal fault,Discharges + Overheating,Warning,"CO?, C?H?",T3
,,,,,,,,,,,,,,
21,65,14,27,41,0.5,6324,5,168,No diagnosis,Thermal fault 300°C-700°C,Overheating,Warning,CO? (Carbon Dioxide),T2
2,46,7,16,9,0.5,763,8,80,No diagnosis,None,None,None,None,T0
4,4,6,11,61,0.5,5234,6,86,No diagnosis,Thermal fault 300°C-700°C,Discharges,Warning,CO? (Carbon Dioxide),T2
5,420,6,11,8,0.5,5890,17,447,No diagnosis,Electrical and thermal fault,Discharges,Warning,"CO, CO?",T1
0,250,25,13,21,15.5,3791,0,325,No diagnosis,Thermal fault,Discharges,Warning,"C?H?, CO?",T1
10,3,16,880,22,0.5,1567,10,931,No diagnosis,Thermal fault,Arc Discharges,Warning,"C?H?, TDCG",DP
10,3,16,880,22,0.5,1567,10,931,No diagnosis,Thermal fault,Arc Discharges,Warning,"C?H?, TDCG",DP
26,73,4,43,67,0.5,2345,13,213,No diagnosis,Thermal fault,"Discharges, low temp",Warning,CO?,PD
26,73,4,43,67,0.5,2345,13,213,No diagnosis,Thermal fault,"Discharges, low temp",Warning,CO?,PD
<5,4,2081,73,6,255,8,0.5,343,No diagnosis,Thermal fault,Discharges + overheating,Warning,Ethane,DP
11,3,3426,146,22,958,23,0.5,1161,No diagnosis,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,"(C?H?), CO?, TDCG",DP
<8,3,1657,69,187,150,47,0.5,461,Thermal < 700C,Thermal fault >700C,Arc discharges,Warning,(C?H?),DP
4,10,2356,4,16,69,22,0.5,80,No diagnosis available,Thermal fault 300°C-700°C,overheating,Warning,(C?H?),DP
<8,3,1657,69,187,150,47,0.5,461,Thermal < 700C,Thermal fault >700C,Arc discharges,Warning,(C?H?),DP
4,7,4585,8,7,76,22,0.5,50,No diagnosis available,Electrical and thermal fault,overheating,Warning,"(CO?), (C?H?)",DP
<5,17,4893,426,4,11,8,0.5,452,0.376,No diagnosis available,Electrical and thermal fault,Discharges + overheating,WARNING,DP
25,11,6765,9,31,85,54,0.5,206,No diagnosis available,Thermal fault,Discharges + overheating,Warning,"(CO?), (C?H?)",DP
10,10,1567,3,16,880,22,0.5,931,No diagnosis available,Thermal fault 300°C-700°C,Arc Discharges,Warning,"(C?H?), TDCG",DP
5,11,3431,1399,7,17,12,1,1436,No diagnosis available,Thermal fault + electrical fault,Discharges + overheating,WARNING,"(CO?), (CO), (C?H?)",DP
5,17,5893,426,4,11,0.5,8,454,No diagnosis available,Electrical and thermal fault,Discharges,Warning,"(CO), (CO?)",DP
0,0,3791,250,25,13,11,21,320,No diagnosis available,Thermal fault,Discharges,Warning,Acetylene C?H? & CO?,DP
13,13,5378,217,4,4,0.5,12,250,No diagnosis available,Thermal fault,Discharges,Warning,(CO?),DP
3,11,3791,250,25,13,0.5,21,312,Thermal < 700C,Thermal fault 300°C-700°C,Discharges + overheating,Warning,(CO?),DP
5,15,3357,1137,7,13,0.5,12,1170,No diagnosis available,Thermal fault,Discharges + overheating,Warning,CO? & CO,DP
